name	genotype	allele1	allele2	strain	pathway	person_collected_worms	person_collected_rna	person_made_library	library_kind	sync_method	project	batch	date
Project_18895_index20	b_let60	b_n2021	a_nan	b_MT4866	ras_off	DAA_1	DAA	VK	SR	L1_arrest	dpy-22	c	06.06.2017
Project_19227_index1	b_clk-1	b_qm30	a_nan	b_MQ130	ubiquinone_synthesis	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19228_index2	b_clk-1	b_qm30	a_nan	b_MQ130	ubiquinone_synthesis	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19229_index3	b_clk-1	b_qm30	a_nan	b_MQ130	ubiquinone_synthesis	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19230_index4	b_dpy7	b_e88	a_nan	b_CB88	cuticular_collagen	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19231_index5	b_dpy7	b_e88	a_nan	b_CB88	cuticular_collagen	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19232_index6	b_dpy7	b_e88	a_nan	b_CB88	cuticular_collagen	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19233_index7	b_dpy10	b_e128	a_nan	b_CB128	cuticular_collagen	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19234_index8	b_dpy10	b_e128	a_nan	b_CB128	cuticular_collagen	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19235_index9	b_dpy10	b_e128	a_nan	b_CB128	cuticular_collagen	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19236_index10	b_unc54	b_e190	a_nan	b_CB190	muscle_myosin	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19237_index11	b_unc54	b_e190	a_nan	b_CB190	muscle_myosin	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19238_index12	b_unc54	b_e190	a_nan	b_CB190	muscle_myosin	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19239_index13	a_WT	a_nan	a_nan	a_n2	none	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19240_index14	a_WT	a_nan	a_nan	a_n2	none	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19241_index15	a_WT	a_nan	a_nan	a_n2	none	CPR	CPR	VK	SR	bleach	structural_genes	d	02.09.2017
Project_19825_index1	b_chd7	b_sy859	a_nan	b_PS7288	chromatin_modifier	DAA_2	DAA	VK	SR	bleach	chd7_alleles	f	17.01.2018
Project_19826_index2	b_chd7	b_sy859	a_nan	b_PS7288	chromatin_modifier	DAA_2	DAA	VK	SR	bleach	chd7_alleles	f	17.01.2018
Project_19827_index3	b_chd7	b_sy859	a_nan	b_PS7288	chromatin_modifier	DAA_2	DAA	VK	SR	bleach	chd7_alleles	f	17.01.2018
Project_19828_index4	b_dpy10	b_e128	a_nan	b_PS7443	cuticular_collagen	DAA_2	DAA	VK	SR	bleach	structural_genes	f	17.01.2018
Project_19829_index5	b_dpy10	b_e128	a_nan	b_PS7443	cuticular_collagen	DAA_2	DAA	VK	SR	bleach	structural_genes	f	17.01.2018
Project_19830_index6	b_dpy10	b_e128	a_nan	b_PS7443	cuticular_collagen	DAA_2	DAA	VK	SR	bleach	structural_genes	f	17.01.2018
Project_19831_index7	b_chd7	sy1049	a_nan	b_PS7267	chromatin_modifier	DAA_2	DAA	VK	SR	bleach	chd7_alleles	f	17.01.2018
Project_19832_index8	b_chd7	sy1049	a_nan	b_PS7267	chromatin_modifier	DAA_2	DAA	VK	SR	bleach	chd7_alleles	f	17.01.2018
Project_19833_index9	b_chd7	sy1049	a_nan	b_PS7267	chromatin_modifier	DAA_2	DAA	VK	SR	bleach	chd7_alleles	f	17.01.2018
Project_19834_index10	a_WT	a_nan	a_nan	a_n2	none	HS	HS	VK	SR	bleach	single_worm_benchmarking	g	29.01.2018
Project_19835_index11	a_WT	a_nan	a_nan	a_n2	none	HS	HS	VK	SR	bleach	single_worm_benchmarking	g	29.01.2018
Project_19836_index12	a_WT	a_nan	a_nan	a_n2	none	HS	HS	VK	SR	bleach	single_worm_benchmarking	g	29.01.2018
Project_19837_index13	b_egl9	b_sa307	a_nan	b_JT307	hypoxia_on	HS	HS	VK	SR	bleach	single_worm_benchmarking	g	29.01.2018
Project_19838_index14	b_egl9	b_sa307	a_nan	b_JT307	hypoxia_on	HS	HS	VK	SR	bleach	single_worm_benchmarking	g	29.01.2018
Project_19839_index15	b_egl9	b_sa307	a_nan	b_JT307	hypoxia_on	HS	HS	VK	SR	bleach	single_worm_benchmarking	g	29.01.2018
Project_19840_index16	a_WT	a_nan	a_nan	a_n2	none	DAA_2	DAA	VK	SR	bleach	chd7_alleles	f	17.01.2018
Project_19841_index18	a_WT	a_nan	a_nan	a_n2	none	DAA_2	DAA	VK	SR	bleach	chd7_alleles	f	17.01.2018
Project_19842_index19	b_chd7	sy956	a_nan	b_PS7273	chromatin_modifier	DAA_2	DAA	VK	SR	bleach	chd7_alleles	f	17.01.2018
Project_19843_index20	b_chd7	sy956	a_nan	b_PS7273	chromatin_modifier	DAA_2	DAA	VK	SR	bleach	chd7_alleles	f	17.01.2018
Project_19844_index21	b_chd7	sy956	a_nan	b_PS7273	chromatin_modifier	DAA_2	DAA	VK	SR	bleach	chd7_alleles	f	17.01.2018
Project_JKY1	b_fog2	b_q71	a_nan	b_JK574	spermatogenesis	DWL	DWL	VK	SR	plate	female_state	e	00.00.2015
Project_JKY2	b_fog2	b_q71	a_nan	b_JK574	spermatogenesis	DWL	DWL	VK	SR	plate	female_state	e	00.00.2015
Project_JKY3	b_fog2	b_q71	a_nan	b_JK574	spermatogenesis	DWL	DWL	VK	SR	plate	female_state	e	00.00.2015
Project_N2Y1	a_WT	a_nan	a_nan	a_n2	none	DWL	DWL	VK	SR	plate	female_state	e	00.00.2015
Project_N2Y2	a_WT	a_nan	a_nan	a_n2	none	DWL	DWL	VK	SR	plate	female_state	e	00.00.2015
Project_N2Y3	a_WT	a_nan	a_nan	a_n2	none	DWL	DWL	VK	SR	plate	female_state	e	00.00.2015
